customer_tweet_id,customer_text,apple_reply_id,apple_reply,intent,should_escalate,escalation_reason,annotation_notes
1960678,@AppleSupport is there anyway to disable the media controls is safari 11 on macOS 10.13 I just want to control iTunes not safari!!!!,1960677,@581538 Thanks for reaching out to us. Please send us a DM with more specific details about the issue that you're having. https://t.co/GDrqU22YpT,,,,
2130383,Hey @115858 your latest #update keeps screwing up my apps! @126 is having a heart attack! Fix it up pls,2130380,@627053 Let's look into this issue together. What exactly is happening with your Instagram app? Are any other apps experiencing the issue?,,,,
2805983,I got read receipts off &amp; niggas can still tell i looked at they message ? @115858 ?? What’s the issue guys,2805982,@782601 We'd love to help with your read receipts! Which version of iOS are you updated to?,,,,
243329,"my average iphone battery life
240 minutes on ios 10
90-100 minutes on ios 11 
@AppleSupport @115858",243328,@173786 Let's get the battery issue straightened out for your phone. DM us to get started. https://t.co/GDrqU22YpT,,,,
1717280,@115858 @AppleSupport my control center doesn’t show there is music playing and my iOS 11 KEEPS lagging and freezing -.- https://t.co/fIt6JTXkSi,1717279,"@519993 Let’s sort this out together. Tell us the version of iOS 11 your iPhone is on currently, and we’ll get started. https://t.co/GDrqU22YpT",,,,
2975684,"@AppleSupport Since last update my phone has turned into a brick. I've been buying iPhones since they came but you guys are dropping the ball now.  My phone doesn't even work, it's slow, the update is full of issues. Not buying iPhones any more.",2975683,"@820324 We know how important it is to have your iPhone performing its best. We’d like to take a closer look at what’s happening. Send us a DM and tell us which iPhone you have, the iOS version it’s running. Also, the names of any apps you frequently use. https://t.co/GDrqU22YpT",,,,
1496723,"@AppleSupport i can’t purchase diamond in mobile legend, how to fix it? https://t.co/0C0Lq6weMQ",1496722,@467488 We received your DM and you'll see a response there shortly.,,,,
2070045,@115858 actualice mi iPhone y ahora la batería no me dura ni medio día 😡😡😡😡@AppleSupport @2310,2070044,"@612184 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs https://t.co/GDrqU22YpT",,,,
1360189,Why is my battery dying while my phone is on the charger? @115858,1360188,@324665 Not exactly how we expect things to go. Are we able to test with a new cord?,,,,
2307034,"tell me why @115858 just deleted all my photos to make space for a new software update......... smh smh, yall better send me an 8 Plus for deleting 4 years of memories",2307033,"@669269 We know how important photos are and we want to help you get them back. To start, please send us a DM and tell us if you use iCloud Photo Library, and if you regularly backup your device? https://t.co/GDrqU22YpT",,,,
1023498,@AppleSupport Hi i am locked out of my iTunes account. Status of recovery says 23 hours however i need access urgently. anything i can do?,1023496,@362207 Hey there! Please check out the following article for more help with account recovery: https://t.co/nXAGZj0EE7,,,,
2835809,@AppleSupport please sort the battery life issue with the iOS 11.1.1 as it is beyond shocking now and you charge a fortune for your products,2835808,"@286909 We've recently released iOS 11.1.2. We'd suggest backing up your device and updating to it to see if your battery life improves. If your issues persist, check out the following adjustments you can make to get the most out of your battery: https://t.co/bivpdfBNJ6",,,,
1950751,@115858 . If u are not giving insurance from now onwards from u r phone. U r sure to loose several loyal customers including me. Pathetic,1950749,"@579381 Hi there. Please send us a DM and clarify your question. Are you referring to AppleCare, or insurance through your carrier? https://t.co/GDrqU22YpT",,,,
498572,The yellowing on my X screen is so bad. And it’s such a good phone otherwise 😔. @AppleSupport,498571,@234017 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can address that issue with you. https://t.co/GDrqU22YpT,,,,
1060575,@AppleSupport Hello. When does the pre-qualifying work for existing upgrade program folks begin today?,1060574,@163860 We'd be happy to get you pointed in the right direction. Send us a DM to continue. https://t.co/GDrqU22YpT,,,,
40435,@AppleSupport  why when i️ type the letter “i” a symbol thing shows up,40433,"@124862 We'd love to figure this out with you. Which device is this happening on, and which software version are you running?",,,,
2427347,"@AppleSupport @115858 why am I forced to keep itunes/ stock/ apple weather/ wallet/maps on my phone? I don’t use your apps and I know I am not the only one, but I don’t want them on there anymore. They are buggy and cause issues on the phone and take up space. #iphoneapp #iphone",2427345,@531982 Thanks for reaching out. You can delete some built-in apps with iOS 11. This article has the information and steps to further assist: https://t.co/Dj4QS7mYwr,,,,
58274,"@AppleSupport Hey, I just updated my Late 2012 Mac Mini to High Sierra and now my second monitor doesn't work (only a black screen that will show my cursor) need help fixing this ASAP! Thanks in advance.",58273,@129234 We're here to help. We know how convenient it is to have a second monitor. Have you done any steps to try to resolve this issue? Go ahead and DM us and let us know what type of cable you are using to connect both monitors. https://t.co/GDrqU22YpT,,,,
