customer_tweet_id,customer_text,apple_reply_id,apple_reply
2117923,@624206 @115858 Yea the new update fucked up my phone it glitches all the time now,2127376,"@626370 Fill us in via DM in detail on what you are experiencing, then we can help out with this from there. https://t.co/GDrqU22YpT"
2436882,Hey @115858 I just had a mini heart attack cause iCloud got turned off when I restarted my phone and all my pictures were suddenly gone (1/?),2436880,@699079 We do understand your concern &amp; how important photos are. Did they all return once you enabled iCloud Photo Library?
228466,@115858 fix this shit . Like wtf https://t.co/sOCmJYcHXS,228465,"@170457 We want to help you with this. We see that you forced closed your apps, that's a great step to try. Have you restarted your iPhone since this issue started? Which iOS are you running? Check here: Settings &gt; General &gt; About &gt; Version."
1759663,@AppleSupport ... give it away for repair for 3 days. can you please advise what my options are. this is urgent. thank you so much,1759662,@144040 Let's look into this. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT
291416,@AppleSupport I’m not sure if you guys sent this to me or someone is phishing for my account info https://t.co/ByWDjZCFbq,291414,@185385 We'd like to help. That is not a genuine message. You can report the message as outlined here: https://t.co/LNMCdqt6fD
1756253,@115858 @AppleSupport,1756252,@528819 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
121549,@AppleSupport  30 minutos y no abre la pagina!,121548,@143062 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs https://t.co/GDrqU22YpT
1398102,"@AppleSupport Only rear. Sometimes works in the camera app, won’t focus at all in Snapchat",1398104,@445128 Which version of iOS 11 are you using currently? Check Settings &gt; General &gt; About and let us know in DM. https://t.co/GDrqU22YpT
457229,@AppleSupport the newest update makes my phone’s brightness change on its own. How do I make it stop? It’s so irritating!,457227,"@223560 Sure thing. Auto-brightness can be disabled under Settings &gt; General &gt; Accessibility &gt; Display Accommodations.
Keep in mind that disabling this feature may decrease battery life."
2777552,@AppleSupport does Apple Canada have a trade in program? I have a iPhone 8 Plus wondering what if anything I could get for it toward an iPhone X,2777550,"@201000 Hey there, thanks for reaching out. Check out this link for more information: https://t.co/HNw7zM1vzP"
1626583,"@AppleSupport hi, why did my phone not automatically change time with day light saving last night?",1626582,@498065 We’re here to help. Please DM us the software version you’re using so we can better assist you. https://t.co/GDrqU22YpT
2025139,@applesupport iOS 11.1 is garbage. iPhone SE actually gets warm to touch and batter down 1/3 just watching a half hour of YouTube. iPad same,2025138,@598898 We want to help with your iPad and iPhone. DM us any other details on this issue and we'll look into this with you there. https://t.co/GDrqU22YpT
2309899,Anyone else having the issue that all of your snooze alarms are on? Sucks. Can’t turn them off. So much for sleeping in @AppleSupport @115858,2309898,"@669934 We'd like to better understand what's going on with your alarms. What's your device model and have you tried any steps yet?

What about the OS version that's installed on it? let us know in DM. https://t.co/GDrqU22YpT"
